Dependency=ASHRAE IECC Climate Zone 2004 - 2A Split	Dependency=Heating Fuel	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None	source_count	source_weight	sampling_probability
"2A - TX, LA"	Electricity	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	51	539994	0.00544857
"2A - TX, LA"	Fuel Oil	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	29	63103.9	4.94E-06
"2A - TX, LA"	Natural Gas	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	29	63103.9	0.00219098
"2A - TX, LA"	None	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	3	24594.1	3.83E-05
"2A - TX, LA"	Other Fuel	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	29	63103.9	3.86E-05
"2A - TX, LA"	Propane	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	29	63103.9	0.00026243
"2A - TX, LA"	Electricity	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	85	406539	0.00688125
"2A - TX, LA"	Fuel Oil	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	44	53499.7	6.00E-06
"2A - TX, LA"	Natural Gas	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	44	53499.7	0.00322641
"2A - TX, LA"	None	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	6	25968	4.48E-05
"2A - TX, LA"	Other Fuel	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	44	53499.7	3.61E-05
"2A - TX, LA"	Propane	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	44	53499.7	0.000295896
"2A - TX, LA"	Electricity	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	85	406539	0.00367213
"2A - TX, LA"	Fuel Oil	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	44	53499.7	3.06E-06
"2A - TX, LA"	Natural Gas	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	44	53499.7	0.00170565
"2A - TX, LA"	None	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	6	25968	2.34E-05
"2A - TX, LA"	Other Fuel	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	44	53499.7	2.00E-05
"2A - TX, LA"	Propane	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	44	53499.7	0.000144891
"2A - TX, LA"	Electricity	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	8	83018.5	0.00109046
"2A - TX, LA"	Fuel Oil	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	15	47939.8	1.49E-06
