Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Wall Type	"Option=Wood Stud, Uninsulated"	"Option=Wood Stud, R-7"	"Option=Wood Stud, R-11"	"Option=Wood Stud, R-15"	"Option=Wood Stud, R-19"	"Option=CMU, 6-in Hollow, Uninsulated"	"Option=CMU, 6-in Hollow, R-7"	"Option=CMU, 6-in Hollow, R-11"	"Option=CMU, 6-in Hollow, R-15"	"Option=CMU, 6-in Hollow, R-19"	"Option=Brick, 12-in, 3-wythe, Uninsulated"	"Option=Brick, 12-in, 3-wythe, R-7"	"Option=Brick, 12-in, 3-wythe, R-11"	"Option=Brick, 12-in, 3-wythe, R-15"	"Option=Brick, 12-in, 3-wythe, R-19"	Option=Void	sampling_probability
CR04	1950s	Concrete	0	0	0	0	0	0.090909091	0.323232323	0.454545455	0.131313131	0	0	0	0	0	0	0	0.000270697
CR06	1950s	Concrete	0	0	0	0	0	0.090909091	0.323232323	0.454545455	0.131313131	0	0	0	0	0	0	0	5.14E-05
CR07	1950s	Concrete	0	0	0	0	0	0.090909091	0.323232323	0.454545455	0.131313131	0	0	0	0	0	0	0	0.000195622
CR08	1950s	Concrete	0	0	0	0	0	0.090909091	0.323232323	0.454545455	0.131313131	0	0	0	0	0	0	0	0.000306021
CR09	1950s	Concrete	0	0	0	0	0	0.090909091	0.323232323	0.454545455	0.131313131	0	0	0	0	0	0	0	0.00154348
CR10	1950s	Concrete	0	0	0	0	0	0.090909091	0.323232323	0.454545455	0.131313131	0	0	0	0	0	0	0	0.000320517
CR11	1950s	Concrete	0	0	0	0	0	0.090909091	0.323232323	0.454545455	0.131313131	0	0	0	0	0	0	0	4.35E-05
CR02	1960s	Concrete	0	0	0	0	0	0.059405941	0.148514851	0.435643564	0.237623762	0.118811881	0	0	0	0	0	0	0.00010822
CR05	1960s	Concrete	0	0	0	0	0	0.059405941	0.148514851	0.435643564	0.237623762	0.118811881	0	0	0	0	0	0	2.07E-06
CR03	1960s	Concrete	0	0	0	0	0	0.059405941	0.148514851	0.435643564	0.237623762	0.118811881	0	0	0	0	0	0	0.00108291
CR04	1960s	Concrete	0	0	0	0	0	0.059405941	0.148514851	0.435643564	0.237623762	0.118811881	0	0	0	0	0	0	9.58E-05
CR06	1960s	Concrete	0	0	0	0	0	0.059405941	0.148514851	0.435643564	0.237623762	0.118811881	0	0	0	0	0	0	3.39E-05
CR07	1960s	Concrete	0	0	0	0	0	0.059405941	0.148514851	0.435643564	0.237623762	0.118811881	0	0	0	0	0	0	0.000226371
CR08	1960s	Concrete	0	0	0	0	0	0.059405941	0.148514851	0.435643564	0.237623762	0.118811881	0	0	0	0	0	0	0.000575234
CR09	1960s	Concrete	0	0	0	0	0	0.059405941	0.148514851	0.435643564	0.237623762	0.118811881	0	0	0	0	0	0	0.00146807
CR10	1960s	Concrete	0	0	0	0	0	0.059405941	0.148514851	0.435643564	0.237623762	0.118811881	0	0	0	0	0	0	0.000304205
CR11	1960s	Concrete	0	0	0	0	0	0.059405941	0.148514851	0.435643564	0.237623762	0.118811881	0	0	0	0	0	0	0.00017256
CR02	1970s	Concrete	0	0	0	0	0	0	0.060606061	0.717171717	0.121212121	0.101010101	0	0	0	0	0	0	0.000186478
CR05	1970s	Concrete	0	0	0	0	0	0	0.060606061	0.717171717	0.121212121	0.101010101	0	0	0	0	0	0	4.96E-06
CR03	1970s	Concrete	0	0	0	0	0	0	0.060606061	0.717171717	0.121212121	0.101010101	0	0	0	0	0	0	0.00140754
CR04	1970s	Concrete	0	0	0	0	0	0	0.060606061	0.717171717	0.121212121	0.101010101	0	0	0	0	0	0	0.000104169
CR06	1970s	Concrete	0	0	0	0	0	0	0.060606061	0.717171717	0.121212121	0.101010101	0	0	0	0	0	0	7.39E-05
CR07	1970s	Concrete	0	0	0	0	0	0	0.060606061	0.717171717	0.121212121	0.101010101	0	0	0	0	0	0	0.00022184
CR08	1970s	Concrete	0	0	0	0	0	0	0.060606061	0.717171717	0.121212121	0.101010101	0	0	0	0	0	0	0.000942742
CR09	1970s	Concrete	0	0	0	0	0	0	0.060606061	0.717171717	0.121212121	0.101010101	0	0	0	0	0	0	0.00237904
