Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Dependency=Geometry Foundation Type	Option=None	Option=Uninsulated	"Option=Wall R-5, Exterior"	"Option=Wall R-10, Exterior"	"Option=Wall R-15, Exterior"	sampling_probability
CR05	2000s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.6	0.4	0.000317644
CR06	2000s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.6	0.4	0.000362321
CR07	2000s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.6	0.4	0.000203398
CR08	2000s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.6	0.4	0.000728836
CR09	2000s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.6	0.4	0.000414935
CR10	2000s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.6	0.4	9.31E-05
CR11	2000s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.6	0.4	8.24E-05
CR02	2010s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.2	0.8	6.14E-05
CR03	2010s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.2	0.8	2.27E-05
CR04	2010s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.2	0.8	6.08E-05
CR05	2010s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.2	0.8	0.00010793
CR06	2010s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.2	0.8	0.000126813
CR07	2010s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.2	0.8	5.78E-05
CR08	2010s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.2	0.8	0.000236584
CR09	2010s	Single-Family Detached	Unvented Crawlspace	0	0	0	0.2	0.8	0.000137581
CR10	2010s	Single-Family Detached	Unvented Crawlspace	0	1	0	0	0	2.19E-05
CR11	2010s	Single-Family Detached	Unvented Crawlspace	0	1	0	0	0	1.86E-05
CR02	<1940	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR03	<1940	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR04	<1940	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR05	<1940	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR06	<1940	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR07	<1940	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR08	<1940	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR09	<1940	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR10	<1940	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR11	<1940	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR02	1940s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR03	1940s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR04	1940s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR05	1940s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR06	1940s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR07	1940s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR08	1940s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR09	1940s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR10	1940s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR11	1940s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR02	1950s	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR03	1950s	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR04	1950s	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR05	1950s	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR06	1950s	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR07	1950s	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR08	1950s	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR09	1950s	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR10	1950s	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR11	1950s	Mobile Home	Heated Basement	0	0.4	0.6	0	0	0
CR02	1960s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR03	1960s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR04	1960s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR05	1960s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR06	1960s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR07	1960s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR08	1960s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR09	1960s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR10	1960s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR11	1960s	Mobile Home	Heated Basement	0	0.2	0.8	0	0	0
CR02	1970s	Mobile Home	Heated Basement	0	0	0.6	0.4	0	0
CR03	1970s	Mobile Home	Heated Basement	0	0	0.6	0.4	0	0
CR04	1970s	Mobile Home	Heated Basement	0	0	0.6	0.4	0	0
CR05	1970s	Mobile Home	Heated Basement	0	0	0.6	0.4	0	0
CR06	1970s	Mobile Home	Heated Basement	0	0	0.6	0.4	0	0
CR07	1970s	Mobile Home	Heated Basement	0	0	0.6	0.4	0	0
CR08	1970s	Mobile Home	Heated Basement	0	0	0.6	0.4	0	0
CR09	1970s	Mobile Home	Heated Basement	0	0	0.6	0.4	0	0
CR10	1970s	Mobile Home	Heated Basement	0	0	0.6	0.4	0	0
CR11	1970s	Mobile Home	Heated Basement	0	0	0.6	0.4	0	0
CR02	1980s	Mobile Home	Heated Basement	0	0	0.2	0.8	0	0
CR03	1980s	Mobile Home	Heated Basement	0	0	0.2	0.8	0	0
CR04	1980s	Mobile Home	Heated Basement	0	0	0.2	0.8	0	0
CR05	1980s	Mobile Home	Heated Basement	0	0	0.2	0.8	0	0
CR06	1980s	Mobile Home	Heated Basement	0	0	0.2	0.8	0	0
CR07	1980s	Mobile Home	Heated Basement	0	0	0.2	0.8	0	0
CR08	1980s	Mobile Home	Heated Basement	0	0	0.2	0.8	0	0
CR09	1980s	Mobile Home	Heated Basement	0	0	0.2	0.8	0	0
CR10	1980s	Mobile Home	Heated Basement	0	0	0.2	0.8	0	0
CR11	1980s	Mobile Home	Heated Basement	0	0	0.2	0.8	0	0
CR02	1990s	Mobile Home	Heated Basement	0	0	0	0.4	0.6	0
CR03	1990s	Mobile Home	Heated Basement	0	0	0	0.4	0.6	0
CR04	1990s	Mobile Home	Heated Basement	0	0	0	0.4	0.6	0
CR05	1990s	Mobile Home	Heated Basement	0	0	0	0.4	0.6	0
CR06	1990s	Mobile Home	Heated Basement	0	0	0	0.4	0.6	0
CR07	1990s	Mobile Home	Heated Basement	0	0	0	0.4	0.6	0
CR08	1990s	Mobile Home	Heated Basement	0	0	0	0.4	0.6	0
CR09	1990s	Mobile Home	Heated Basement	0	0	0	0.4	0.6	0
CR10	1990s	Mobile Home	Heated Basement	0	0	0	0.4	0.6	0
CR11	1990s	Mobile Home	Heated Basement	0	0	0	0.4	0.6	0
